cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
lfo_2_frequency,lfo_2_frequency,1,-7,9,LFO 2 Frequency,164,LFO 2 Frequency,164,LFO 2 Frequency
lfo_2_keytrack_transpose,lfo_2_keytrack_transpose,-12,-60,36,LFO 2 Transpose,730,LFO 2 Transpose,730,LFO 2 Transpose
lfo_2_keytrack_tune,lfo_2_keytrack_tune,0,-1,1,LFO 2 Tune,731,LFO 2 Tune,731,LFO 2 Tune
lfo_2_phase,lfo_2_phase,0,0,1,LFO 2 Phase,165,LFO 2 Phase,165,LFO 2 Phase
lfo_2_smooth_mode,lfo_2_smooth_mode,1,0,1,LFO 2 Smooth Mode,757,LFO 2 Smooth Mode,757,LFO 2 Smooth Mode
lfo_2_smooth_time,lfo_2_smooth_time,-7.5,-10,4,LFO 2 Smooth Time,758,LFO 2 Smooth Time,758,LFO 2 Smooth Time
lfo_2_stereo,lfo_2_stereo,0,-0.5,0.5,LFO 2 Stereo,488,LFO 2 Stereo,488,LFO 2 Stereo
lfo_2_sync,lfo_2_sync,1,0,4,LFO 2 Sync,166,LFO 2 Sync,166,LFO 2 Sync
lfo_2_sync_type,lfo_2_sync_type,0,0,6,LFO 2 Sync Type,167,LFO 2 Sync Type,167,LFO 2 Sync Type
lfo_2_tempo,lfo_2_tempo,7,0,12,LFO 2 Tempo,168,LFO 2 Tempo,168,LFO 2 Tempo
lfo_3_delay_time,lfo_3_delay_time,0,0,4,LFO 3 Delay,169,LFO 3 Delay,169,LFO 3 Delay
lfo_3_fade_time,lfo_3_fade_time,0,0,8,LFO 3 Fade In,170,LFO 3 Fade In,170,LFO 3 Fade In
lfo_3_frequency,lfo_3_frequency,1,-7,9,LFO 3 Frequency,171,LFO 3 Frequency,171,LFO 3 Frequency
lfo_3_keytrack_transpose,lfo_3_keytrack_transpose,-12,-60,36,LFO 3 Transpose,732,LFO 3 Transpose,732,LFO 3 Transpose
lfo_3_keytrack_tune,lfo_3_keytrack_tune,0,-1,1,LFO 3 Tune,733,LFO 3 Tune,733,LFO 3 Tune
lfo_3_phase,lfo_3_phase,0,0,1,LFO 3 Phase,172,LFO 3 Phase,172,LFO 3 Phase
lfo_3_smooth_mode,lfo_3_smooth_mode,1,0,1,LFO 3 Smooth Mode,759,LFO 3 Smooth Mode,759,LFO 3 Smooth Mode
lfo_3_smooth_time,lfo_3_smooth_time,-7.5,-10,4,LFO 3 Smooth Time,760,LFO 3 Smooth Time,760,LFO 3 Smooth Time
lfo_3_stereo,lfo_3_stereo,0,-0.5,0.5,LFO 3 Stereo,489,LFO 3 Stereo,489,LFO 3 Stereo
lfo_3_sync,lfo_3_sync,1,0,4,LFO 3 Sync,173,LFO 3 Sync,173,LFO 3 Sync
lfo_3_sync_type,lfo_3_sync_type,0,0,6,LFO 3 Sync Type,174,LFO 3 Sync Type,174,LFO 3 Sync Type
lfo_3_tempo,lfo_3_tempo,7,0,12,LFO 3 Tempo,175,LFO 3 Tempo,175,LFO 3 Tempo
